Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0 (Prime); WT YAP; Abundance 1221003,t=24 (NMP); WT YAP; Abundance 1221004,t=36; WT YAP; Abundance 1221005,t=48 (PSM); WT YAP; Abundance 1221006,t=0 (Prime); WT TAZ; Abundance 1221007,t=24 (NMP); WT TAZ; Abundance 1221008,t=36; WT TAZ; Abundance 1221009,t=48 (PSM); WT TAZ; Abundance 1221010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68431,Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C12 PE=1 SV=2,27,6,119,2,15.4,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,268411413.25,243635797.81,88346796.86,87434870.25,42052075.94,240498708.70,101142686.33,13689128.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0C0S5,Histone H2A.Z OS=Homo sapiens OX=9606 GN=H2AZ1 PE=1 SV=2,31,5,118,3,13.5,H2AZ1,2921136.88,17009509.13,2746212.34,3752098.63,2355905.72,16962235.08,3630270.46,26054.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13151,Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1,40,11,118,9,30.8,HNRNPA0,9653716.12,33112528.66,7135616.24,10505476.44,1583652.81,34379565.75,7505832.03,690844.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13509,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2,31,12,117,1,50.4,TUBB3,,158787.14,,34185.42,43237.37,161872.02,62681.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92922,SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3,15,16,117,10,122.8,SMARCC1,10229267.60,31606742.83,7042715.38,10298422.64,5981158.51,20260730.33,13590722.09,3111396.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UMS4,Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1,30,13,117,13,55.1,PRPF19,8261506.17,47809299.27,15148304.20,22900346.95,6595056.53,34837470.05,19778973.52,11410716.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",35,18,117,17,73.6,HSPA9,4432782.20,16818897.09,4310158.00,5001937.67,3174401.78,13964130.73,9939457.13,3224502.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62269,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,55,13,116,13,17.7,RPS18,19179844.44,35444468.47,9631038.62,13626898.02,7974739.83,29192255.61,6371068.89,3779110.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BVJ6,U3 small nucleolar RNA-associated protein 14 homolog A OS=Homo sapiens OX=9606 GN=UTP14A PE=1 SV=1,41,26,116,26,87.9,UTP14A,10717365.33,26821244.17,5026998.54,5464082.88,3179950.28,21515143.21,14722485.32,407185.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P47756,F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=5,45,14,116,14,30.6,CAPZB,37084141.94,57854085.88,13003748.29,11119009.91,6246428.11,51649665.55,13340777.12,868470.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q08945,FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,23,15,116,15,81,SSRP1,10453530.66,32607327.48,4836479.74,8022812.22,4205907.60,28059832.52,15441587.05,1669389.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61247,40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2,58,18,115,18,29.9,RPS3A,28308468.25,40383780.72,9006767.63,12555211.75,7314279.31,42690802.32,8664529.63,528526.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62241,40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2,51,11,114,11,24.2,RPS8,36427193.80,71490483.52,14122634.79,24432449.68,7469559.56,67138217.70,14152016.43,78301.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UBC3,DNA (cytosine-5)-methyltransferase 3B OS=Homo sapiens OX=9606 GN=DNMT3B PE=1 SV=1,26,18,114,14,95.7,DNMT3B,12348554.77,22836209.88,3136147.95,4039769.36,10278290.65,19774126.05,11299503.20,1545502.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14008,Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3,21,34,113,34,225.4,CKAP5,9179584.05,15848587.14,3255602.42,5664506.82,3671367.33,21925341.56,13827264.94,1480451.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9C0C2,182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4,28,32,112,32,181.7,TNKS1BP1,13144868.41,20691924.49,3786009.81,3515371.52,4843205.83,19413458.39,9573959.56,794620.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96E39,"RNA binding motif protein, X-linked-like-1 OS=Homo sapiens OX=9606 GN=RBMXL1 PE=1 SV=1",34,14,112,1,42.1,RBMXL1,,307327.97,76514.49,147713.31,81164.08,335869.13,126557.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62277,40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,53,9,111,9,17.2,RPS13,17736169.69,37130328.82,7772778.73,9801417.46,4440760.59,38626439.75,9735342.08,1248039.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31943,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,32,9,111,5,49.2,HNRNPH1,7678940.03,31354665.31,6491936.88,13717465.96,6740243.59,34262355.80,16643728.38,605052.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NTI5,Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens OX=9606 GN=PDS5B PE=1 SV=1,20,25,111,22,164.6,PDS5B,8939328.51,23150383.28,5636747.06,6650085.26,4447156.45,24838636.06,17310070.65,3306751.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TDD1,ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2,33,23,110,22,98.5,DDX54,11404277.54,166072086.61,154377413.59,215825035.83,132757585.66,153931391.15,157043415.09,477169.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BQ39,ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1,24,15,109,12,82.5,DDX50,5796792.29,11318073.44,2468601.30,4735482.32,3131416.20,13768514.34,9383456.28,1290890.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51991,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,26,10,107,8,39.6,HNRNPA3,7276680.63,22944923.09,5027308.01,14427439.00,3700494.66,24711163.94,7122002.41,44746.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99848,Probable rRNA-processing protein EBP2 OS=Homo sapiens OX=9606 GN=EBNA1BP2 PE=1 SV=2,41,13,107,13,34.8,EBNA1BP2,11706422.33,27015780.31,5925292.16,7675146.14,2753348.98,26971640.00,7538269.91,144173.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51610,Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,14,20,107,20,208.6,HCFC1,5655174.66,17214966.25,6438909.47,9554872.97,4178731.30,13501091.28,11118047.94,4431614.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WXF1,Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1,37,18,107,16,58.7,PSPC1,13140675.97,23251435.52,6565949.61,11111200.02,6282662.76,24770481.41,16280340.94,8756858.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62136,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1,48,15,107,3,37.5,PPP1CA,4710846.08,24856111.99,4949930.23,7221001.98,2017484.27,23896919.00,5335212.26,492239.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17302,Gap junction alpha-1 protein OS=Homo sapiens OX=9606 GN=GJA1 PE=1 SV=2,37,11,106,11,43,GJA1,19174853.94,36140732.72,11043140.13,14080446.47,3209973.39,38392023.41,11966189.61,1337078.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52907,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,61,11,105,9,32.9,CAPZA1,14952367.66,16760629.56,2273596.53,3026267.78,1527050.54,12539204.58,2919236.84,650795.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62979,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2,30,5,104,5,18,RPS27A,22835029.13,47415615.84,14216226.07,14696782.63,9697935.84,41252929.48,24814181.84,4334038.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P45880,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2,41,11,104,11,31.5,VDAC2,20125745.50,16705074.70,8597925.11,14684346.37,9019379.93,32243791.70,6716380.82,5362585.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5UIP0,Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2,17,32,104,32,274.3,RIF1,5745669.48,14968979.93,3603863.24,4061203.96,3318613.13,13605060.02,11388961.03,113405.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,37,19,103,17,72.3,HSPA5,4869590.47,12151758.74,3451741.49,2578170.15,2866899.29,9211605.39,5764888.52,1681687.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61158,Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3,56,20,102,16,47.3,ACTR3,28148840.63,29100010.19,6764120.36,9423380.52,7183149.30,32808636.67,15986082.23,1205156.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52701,DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2,21,25,101,25,152.7,MSH6,5044773.54,22369405.56,3736527.25,5655197.96,2726026.36,18924261.61,12803419.13,324567.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IUE6,Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3,63,7,99,1,14,H2AC21,5293783.50,8836631.50,1522154.88,1373148.25,1437382.25,7645874.00,1507157.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12905,Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2,50,12,99,12,43,ILF2,4414011.70,20740308.80,4557516.32,3764494.45,1533023.12,25321304.12,4698717.04,71569.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61353,60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,49,7,99,7,15.8,RPL27,57286299.76,61748342.12,20491697.21,18752704.89,10553970.97,138473866.36,25362909.23,4911411.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13576,Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=4,21,25,97,22,180.5,IQGAP2,2686668.50,8411021.45,1613292.91,2183029.79,1809604.49,7268544.16,5260927.38,781197.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05141,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,38,12,97,3,32.8,SLC25A5,18459462.75,40565679.72,7589879.35,10843221.45,5027994.13,36885437.84,8570830.31,5220482.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75955,Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,54,20,97,20,47.3,FLOT1,8972639.85,19497919.94,5157708.69,5805141.02,2794341.30,18013081.21,6833678.18,1435126.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12955,Ankyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3,6,22,96,22,480.1,ANK3,7568956.45,20790762.97,3480533.45,3252407.98,3637010.20,17388577.06,10701649.34,843074.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5QJE6,Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens OX=9606 GN=DNTTIP2 PE=1 SV=2,30,17,95,17,84.4,DNTTIP2,9147980.51,24440591.92,4075520.29,5652826.65,2850466.41,20501168.11,16995323.04,226542.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14137,Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,26,16,94,16,83.6,BOP1,12816313.19,24953777.38,5008465.69,7727218.98,5771581.43,21585484.47,19373603.33,629590.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5TEC6,Histone H3-7 OS=Homo sapiens OX=9606 GN=H3-7 PE=1 SV=1,27,5,94,1,15.4,H3-7,9937916.00,30795248.25,8130583.15,8652448.56,3148930.25,32720925.25,13341697.32,29187.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25205,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,28,19,94,19,90.9,MCM3,5806475.30,15024653.69,2771943.85,4228795.08,2347559.84,12487992.60,7357310.56,2265206.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00541,Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,27,14,94,14,68,PES1,14127331.88,18418624.63,6479247.03,8387499.17,5371173.55,21816270.50,15836015.95,2706957.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15397,Pumilio homolog 3 OS=Homo sapiens OX=9606 GN=PUM3 PE=1 SV=3,29,17,94,17,73.5,PUM3,13893242.69,21947754.73,10049304.92,25053677.46,13849668.55,22748859.13,17291126.13,1599701.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q2TAY7,WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2,29,13,93,13,57.5,SMU1,3139619.90,12078813.02,3912775.98,7891893.09,1964092.75,10240455.38,4420781.66,825604.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62753,40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,44,12,92,12,28.7,RPS6,25161422.83,41339640.50,8417140.85,13380230.64,5240915.68,44209141.31,8881885.50,332622.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P36873,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1,46,14,92,2,37,PPP1CC,2091451.63,4701240.42,1785241.88,1975207.08,584818.81,5259750.03,1930642.13,68260.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P26373,60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4,37,10,91,10,24.2,RPL13,45389365.63,104149875.03,14707816.70,19722414.73,7740378.27,97382579.08,18204971.31,1388227.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NYF8,Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2,17,15,91,14,106.1,BCLAF1,11509289.28,23690049.78,5133406.84,12916245.21,3815103.84,28910678.93,16334619.98,1933635.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07955,Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,49,11,91,11,27.7,SRSF1,11093415.05,20322605.89,4350640.00,7395978.03,3031721.53,21137767.39,6115589.27,280091.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35611,Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2,23,14,91,12,80.9,ADD1,10174246.13,31863381.75,5832077.32,5543300.45,3969695.76,22335382.70,15384539.02,2448958.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14839,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2,13,23,91,18,217.9,CHD4,5733768.36,23094492.08,4998967.73,8724256.24,4654298.96,18907513.41,12476393.53,718211.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,50,14,90,14,36,GAPDH,15819648.76,35551207.42,7482725.56,6906411.38,4663761.77,24437146.87,4688076.45,2660376.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P43246,DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1,37,26,89,26,104.7,MSH2,3116434.13,22594146.37,4105762.03,5367887.89,2278825.32,22396829.27,15915458.73,648466.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13206,Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2,25,20,89,20,100.8,DDX10,6439247.59,14295959.30,2559574.25,5165002.71,2555413.70,18030218.69,12456179.98,317010.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3,43,13,89,3,37.2,PPP1CB,2703331.38,8278297.95,1922200.41,2302691.06,955642.53,7076556.63,1403180.31,426563.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P24844,Myosin regulatory light polypeptide 9 OS=Homo sapiens OX=9606 GN=MYL9 PE=1 SV=4,49,9,88,2,19.8,MYL9,163075.95,1549563.38,,,,1132613.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13010,X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3,39,22,88,22,82.7,XRCC5,5253977.27,28312663.45,5422592.82,6771020.57,5048173.95,26002572.75,15212008.69,1996389.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00425,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,34,16,88,13,63.7,IGF2BP3,6074897.17,8534673.05,1548218.59,1762253.84,2965247.86,9593540.77,4764366.06,378034.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P33992,DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5,26,16,87,16,82.2,MCM5,7468112.59,17716301.19,3775526.98,7003837.41,4537669.46,20553082.88,12362100.09,1459807.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWA0,WD repeat-containing protein 75 OS=Homo sapiens OX=9606 GN=WDR75 PE=1 SV=1,25,18,87,18,94.4,WDR75,5761474.89,22973574.42,4712400.84,5688499.30,3221996.70,16549210.66,12773584.81,981390.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12236,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,37,11,86,2,32.8,SLC25A6,2037858.25,2796191.16,734039.00,1186992.31,632681.25,3491074.38,822194.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2,52,12,86,11,30.8,VDAC1,11945055.46,12314028.72,6354301.79,8899617.81,5835650.47,25333375.13,5328814.84,3255910.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P42696,RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2,43,17,86,17,48.5,RBM34,5227097.31,19936370.11,4686666.55,7080813.63,1875932.63,17112863.73,9294807.22,427424.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y6K1,DNA (cytosine-5)-methyltransferase 3A OS=Homo sapiens OX=9606 GN=DNMT3A PE=1 SV=4,23,20,86,16,101.8,DNMT3A,12391275.44,27070342.04,6501099.46,13132478.15,8472195.94,29045185.89,17883438.82,1138350.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46777,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3,44,14,86,14,34.3,RPL5,27931049.50,47635320.31,10924739.13,16212702.68,4634751.50,52384134.53,10650503.52,171525.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62249,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,51,9,86,9,16.4,RPS16,28564882.84,40394516.69,11220780.13,16716521.14,5902029.18,44349475.96,12875050.95,2458345.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2,23,16,85,16,95.9,ABCF1,4539207.06,16421170.55,1746089.02,3164747.18,1960898.48,13756462.25,8884742.87,260157.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86U86,Protein polybromo-1 OS=Homo sapiens OX=9606 GN=PBRM1 PE=1 SV=1,17,26,85,26,192.8,PBRM1,5877521.15,11868644.94,2889365.34,6935549.00,2955170.86,17558347.03,10077589.59,279655.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NW13,RNA-binding protein 28 OS=Homo sapiens OX=9606 GN=RBM28 PE=1 SV=3,28,19,85,19,85.7,RBM28,9332471.91,24469303.09,4631057.09,6825078.00,4575545.01,21964714.81,12625002.71,768570.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46781,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,37,10,85,10,22.6,RPS9,27410391.77,31325562.48,4407230.68,9044742.80,3259917.08,34465144.10,8758322.02,280869.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51114,RNA-binding protein FXR1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3,30,15,83,13,69.7,FXR1,11979427.35,28563789.73,5268272.70,8647151.32,5255791.20,27388748.25,15310159.05,311227.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",36,20,83,20,82.9,HADHA,3091907.21,11317052.08,2869402.44,3094201.27,2142232.72,10918781.77,6000143.83,3538869.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P50914,60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4,33,7,82,7,23.4,RPL14,21400276.18,38801873.28,5933791.04,7173367.34,3275381.23,34034154.30,8283387.63,238411.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99623,Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2,51,13,82,13,33.3,PHB2,7440640.27,10120945.67,2883892.74,1963841.92,1433205.56,14747962.52,3656342.39,4438674.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06753,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2,42,14,82,6,32.9,TPM3,13356303.84,44309215.27,7734290.57,5765800.49,5438391.00,47911099.41,8650490.08,2840579.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99459,Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,29,17,81,17,92.2,CDC5L,2001687.12,7681075.50,1442157.30,3515222.65,1257771.21,7598807.47,4392916.02,6588127.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46783,40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1,44,8,81,8,18.9,RPS10,5812946.56,24303652.38,7982844.02,6844150.22,3289287.89,32931261.22,6646946.37,593447.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7L190,Developmental pluripotency-associated protein 4 OS=Homo sapiens OX=9606 GN=DPPA4 PE=1 SV=2,25,7,81,7,33.5,DPPA4,7058006.91,15449556.10,2663920.90,3236578.02,2268363.13,12979495.70,4825877.86,89974.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DOX5,Immunoglobulin gamma-1 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2,13,6,81,6,49.3,,47389485.05,58545953.14,46135145.28,58437420.59,993098082.17,945396815.33,1017752678.16,1038936494.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H7B2,Ribosome production factor 2 homolog OS=Homo sapiens OX=9606 GN=RPF2 PE=1 SV=2,40,11,81,11,35.6,RPF2,6518825.70,25706301.83,5065502.87,8036569.64,2572930.72,23927432.47,3575786.04,707914.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
