Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,"t=24 WT TAZ, Abundance QEX3_1244798","t=24 YT2 TAZ, Abundance QEX3_1244799","t=24 WT YAP, Abundance QEX3_1244800","t=24 YT2 TAZ, Abundance QEX3_1244801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NI36,WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1,20,15,30,15,105.3,WDR36,1.86E+06,6.01E+04,2.45E+06,4.19E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H6R4,Nucleolar protein 6 OS=Homo sapiens OX=9606 GN=NOL6 PE=1 SV=2,18,16,29,16,127.5,NOL6,2.86E+06,3.33E+05,3.79E+06,2.58E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86YZ3,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,14,12,29,12,282.2,HRNR,9.79E+05,5.86E+05,1.11E+06,2.88E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52292,Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1,26,11,29,11,57.8,KPNA2,2.58E+06,6.95E+04,3.46E+06,1.04E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P25205,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,20,15,29,15,90.9,MCM3,2.39E+06,6.46E+05,2.24E+06,7.61E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13263,Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,19,14,29,14,88.5,TRIM28,3.12E+06,6.53E+04,3.67E+06,1.69E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61353,Large ribosomal subunit protein eL27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,53,8,29,8,15.8,RPL27,1.18E+07,4.15E+05,1.74E+07,5.17E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5JTH9,RRP12-like protein OS=Homo sapiens OX=9606 GN=RRP12 PE=1 SV=2,19,19,29,19,143.6,RRP12,2.02E+06,5.98E+05,3.15E+06,4.92E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P38919,Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4,40,15,29,14,46.8,EIF4A3,2.16E+06,1.76E+05,3.16E+06,2.73E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17480,Nucleolar transcription factor 1 OS=Homo sapiens OX=9606 GN=UBTF PE=1 SV=1,19,12,29,12,89.4,UBTF,2.49E+06,5.20E+05,3.82E+06,2.61E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52907,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,49,9,29,8,32.9,CAPZA1,2.86E+06,2.39E+04,5.59E+06,2.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35251,Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4,15,15,28,15,128.2,RFC1,1.58E+06,8.52E+04,2.52E+06,6.25E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14807,Kinesin-like protein KIF22 OS=Homo sapiens OX=9606 GN=KIF22 PE=1 SV=5,36,17,28,17,73.2,KIF22,9.08E+05,7.64E+04,1.37E+06,4.32E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17302,Gap junction alpha-1 protein OS=Homo sapiens OX=9606 GN=GJA1 PE=1 SV=2,30,10,28,10,43,GJA1,2.82E+06,,5.18E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75487,Glypican-4 OS=Homo sapiens OX=9606 GN=GPC4 PE=1 SV=4,31,13,28,13,62.4,GPC4,3.01E+06,,2.72E+06,1.01E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02768,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,11,8,28,8,69.3,ALB,3.31E+06,2.24E+06,1.02E+06,8.54E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H2P0,Activity-dependent neuroprotector homeobox protein OS=Homo sapiens OX=9606 GN=ADNP PE=1 SV=1,18,15,28,15,123.5,ADNP,8.61E+05,1.26E+04,1.30E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Homo sapiens OX=9606 GN=GNAI2 PE=1 SV=3,31,9,28,4,40.4,GNAI2,2.60E+06,5.89E+04,2.63E+06,1.57E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62847,Small ribosomal subunit protein eS24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1,35,5,28,5,15.4,RPS24,3.10E+06,8.86E+04,5.41E+06,9.67E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P47756,F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=5,60,16,28,16,30.6,CAPZB,2.73E+06,9.76E+03,6.45E+06,7.93E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P32969,Large ribosomal subunit protein uL6 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1,44,8,28,8,21.9,RPL9; RPL9P7; RPL9P8; RPL9P9,6.95E+06,2.42E+05,1.10E+07,4.87E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N3R9,Protein PALS1 OS=Homo sapiens OX=9606 GN=PALS1 PE=1 SV=3,27,15,28,15,77.2,PALS1,3.97E+06,,1.99E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60660,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,63,8,28,6,16.9,MYL6,6.83E+06,1.06E+05,1.28E+07,4.19E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9GZV5,WW domain-containing transcription regulator protein 1 OS=Homo sapiens OX=9606 GN=WWTR1 PE=1 SV=1,38,13,28,13,44.1,WWTR1,1.18E+07,,3.88E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14126,Desmoglein-2 OS=Homo sapiens OX=9606 GN=DSG2 PE=1 SV=2,17,13,28,13,122.2,DSG2,1.72E+06,1.39E+04,1.55E+06,3.44E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99459,Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,15,10,27,10,92.2,CDC5L,1.76E+06,2.98E+05,2.33E+06,2.66E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P50914,Large ribosomal subunit protein eL14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4,34,7,27,7,23.4,RPL14,1.18E+07,3.46E+05,1.70E+07,2.99E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P0M6,Core histone macro-H2A.2 OS=Homo sapiens OX=9606 GN=MACROH2A2 PE=1 SV=3,38,10,27,8,40,MACROH2A2,3.93E+06,6.94E+04,6.13E+06,3.97E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60716,Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1,21,16,27,16,108.1,CTNND1,1.84E+06,6.18E+04,2.16E+06,5.10E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00148,ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,22,9,27,2,49.1,DDX39A,4.22E+05,1.04E+04,5.31E+05,2.39E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14950,Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2,55,9,27,3,19.8,MYL12B,2.84E+06,,5.21E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60842,Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1,37,11,27,10,46.1,EIF4A1,2.56E+06,7.40E+04,3.03E+06,2.54E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IY81,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2,17,13,27,13,96.5,FTSJ3,2.54E+06,2.16E+04,3.80E+06,4.63E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P18621,Large ribosomal subunit protein uL22 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,48,9,27,9,21.4,RPL17,2.99E+06,4.20E+04,5.39E+06,1.08E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11940,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,17,11,27,9,70.6,PABPC1,2.39E+06,5.44E+05,1.54E+06,6.05E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q2Q1W2,E3 ubiquitin-protein ligase TRIM71 OS=Homo sapiens OX=9606 GN=TRIM71 PE=1 SV=1,20,13,26,13,93.3,TRIM71,1.95E+06,1.67E+05,2.58E+06,1.28E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IUE6,Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3,70,8,26,3,14,H2AC21,4.67E+06,5.51E+04,5.02E+06,1.76E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y3I0,RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1,30,13,26,13,55.2,RTCB,1.59E+06,9.31E+04,2.59E+06,1.18E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62899,Large ribosomal subunit protein eL31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1,37,5,26,5,14.5,RPL31,4.33E+06,2.36E+05,7.11E+06,2.16E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62888,Large ribosomal subunit protein eL30 OS=Homo sapiens OX=9606 GN=RPL30 PE=1 SV=2,66,6,26,6,12.8,RPL30,3.55E+06,7.44E+04,5.26E+06,7.83E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62910,Large ribosomal subunit protein eL32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2,50,8,26,8,15.9,RPL32,6.26E+06,1.98E+05,1.07E+07,2.53E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DMV9,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,27,12,26,9,70,HSPA1B,9.55E+05,2.16E+05,8.58E+05,1.91E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62263,Small ribosomal subunit protein uS11 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3,39,6,26,6,16.3,RPS14,1.97E+06,1.11E+05,3.01E+06,8.74E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P83731,Large ribosomal subunit protein eL24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1,38,7,26,7,17.8,RPL24,7.30E+06,2.00E+05,1.09E+07,1.70E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y3T9,Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4,16,13,26,13,84.9,NOC2L,1.99E+06,2.75E+04,2.48E+06,5.58E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08754,Guanine nucleotide-binding protein G(i) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3,27,8,26,3,40.5,GNAI3,2.22E+05,,2.61E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2R4,Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens OX=9606 GN=DDX52 PE=1 SV=4,26,10,26,9,67.4,DDX52,8.25E+05,1.27E+05,1.22E+06,8.88E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y6J0,Calcineurin-binding protein cabin-1 OS=Homo sapiens OX=9606 GN=CABIN1 PE=1 SV=1,9,17,25,17,246.2,CABIN1,1.81E+06,6.53E+04,1.72E+06,9.63E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00515,Ladinin-1 OS=Homo sapiens OX=9606 GN=LAD1 PE=1 SV=2,27,12,25,12,57.1,LAD1,1.81E+06,4.94E+03,2.94E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P41091,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3,35,13,25,13,51.1,EIF2S3,3.50E+06,2.48E+05,5.35E+06,2.82E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12788,Transducin beta-like protein 3 OS=Homo sapiens OX=9606 GN=TBL3 PE=1 SV=2,29,15,25,15,89,TBL3,1.40E+06,2.54E+04,2.14E+06,2.93E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,4,19,25,19,632.4,MDN1,1.28E+06,9.04E+03,6.35E+05,8.76E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35611,Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2,25,13,25,12,80.9,ADD1,1.60E+06,,3.09E+06,4.80E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UQE7,Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2,14,16,25,16,141.5,SMC3,1.62E+06,1.36E+04,2.43E+06,2.87E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,17,13,25,13,101.9,SND1,1.88E+06,2.68E+04,2.23E+06,4.24E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P22087,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2,40,10,25,10,33.8,FBL,2.70E+06,2.52E+05,3.89E+06,2.17E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2,19,14,24,14,95.9,ABCF1,1.67E+06,3.18E+04,2.53E+06,3.05E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H8Y1,Vertnin OS=Homo sapiens OX=9606 GN=VRTN PE=1 SV=1,19,11,24,11,78.2,VRTN,1.07E+06,4.55E+05,1.48E+06,3.08E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y608,Leucine-rich repeat flightless-interacting protein 2 OS=Homo sapiens OX=9606 GN=LRRFIP2 PE=1 SV=1,15,10,24,9,82.1,LRRFIP2,1.66E+06,3.29E+04,3.23E+06,1.66E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51659,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3,18,10,24,10,79.6,HSD17B4,1.07E+06,7.96E+04,9.64E+05,1.30E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06396,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,22,14,24,14,85.6,GSN,2.92E+06,9.27E+04,5.63E+06,5.67E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O94906,Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1,19,16,24,16,106.9,PRPF6,1.67E+06,2.78E+05,2.25E+06,2.28E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y265,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,35,11,24,11,50.2,RUVBL1,9.63E+05,1.21E+05,1.25E+06,1.29E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",30,12,24,12,56.5,ATP5F1B,9.13E+05,6.05E+04,8.19E+05,5.13E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2,11,19,24,19,226.2,SMCHD1,5.99E+05,,1.27E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07955,Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2,33,9,24,9,27.7,SRSF1,1.33E+06,6.74E+04,2.11E+06,7.90E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92769,Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2,34,12,24,8,55.3,HDAC2,1.22E+06,2.08E+05,1.82E+06,2.45E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06753,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2,34,13,24,6,32.9,TPM3,6.63E+06,8.55E+04,1.21E+07,5.18E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99594,Transcriptional enhancer factor TEF-5 OS=Homo sapiens OX=9606 GN=TEAD3 PE=1 SV=2,32,14,24,6,48.6,TEAD3,5.63E+04,,1.14E+07,3.68E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P28347,Transcriptional enhancer factor TEF-1 OS=Homo sapiens OX=9606 GN=TEAD1 PE=1 SV=2,24,12,23,4,47.9,TEAD1,,,3.87E+06,2.09E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NRZ9,Lymphoid-specific helicase OS=Homo sapiens OX=9606 GN=HELLS PE=1 SV=1,17,12,23,12,97,HELLS,2.00E+06,4.33E+05,2.80E+06,1.35E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,15,10,23,4,84.6,HSP90AA1,1.01E+06,5.34E+04,3.94E+05,1.51E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P26358,DNA (cytosine-5)-methyltransferase 1 OS=Homo sapiens OX=9606 GN=DNMT1 PE=1 SV=2,12,18,23,18,183.1,DNMT1,1.64E+06,1.42E+05,2.08E+06,7.05E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0C0S5,Histone H2A.Z OS=Homo sapiens OX=9606 GN=H2AZ1 PE=1 SV=2,31,4,23,2,13.5,H2AZ1,4.50E+06,,5.71E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14676,Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens OX=9606 GN=MDC1 PE=1 SV=3,12,14,23,14,226.5,MDC1,1.01E+06,,1.43E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92947,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GCDH PE=1 SV=1",5,2,23,2,48.1,GCDH,3.61E+05,3.04E+05,1.48E+05,1.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P18077,Large ribosomal subunit protein eL33 OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2,47,7,23,7,12.5,RPL35A,8.94E+06,4.34E+05,1.44E+07,2.55E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NC51,SERPINE1 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2,29,9,23,9,44.9,SERBP1,1.93E+06,1.62E+04,3.28E+06,1.24E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2,18,10,23,10,95.7,HNRNPUL1,1.67E+06,7.25E+04,1.87E+06,6.41E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P42704,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",10,13,23,13,157.8,LRPPRC,6.49E+06,5.92E+06,6.38E+06,5.57E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15365,Poly(rC)-binding protein 1 OS=Homo sapiens OX=9606 GN=PCBP1 PE=1 SV=2,37,10,23,6,37.5,PCBP1,1.23E+06,8.11E+04,1.37E+06,1.51E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P26368,Splicing factor U2AF 65 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF2 PE=1 SV=4,26,9,23,9,53.5,U2AF2,1.47E+06,1.34E+05,1.79E+06,2.63E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BY89,Uncharacterized protein KIAA1671 OS=Homo sapiens OX=9606 GN=KIAA1671 PE=1 SV=2,14,18,23,18,196.6,KIAA1671,5.64E+05,,1.16E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y4W2,Ribosomal biogenesis protein LAS1L OS=Homo sapiens OX=9606 GN=LAS1L PE=1 SV=2,28,15,23,15,83,LAS1L,1.45E+06,9.34E+04,2.13E+06,5.62E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14247,Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2,26,13,22,13,61.5,CTTN,1.01E+06,,1.51E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6WCQ1,Myosin phosphatase Rho-interacting protein OS=Homo sapiens OX=9606 GN=MPRIP PE=1 SV=3,24,17,22,16,116.5,MPRIP,7.87E+05,3.42E+04,1.37E+06,1.29E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TDN6,Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens OX=9606 GN=BRIX1 PE=1 SV=2,20,8,22,8,41.4,BRIX1,2.90E+06,1.60E+05,4.76E+06,1.75E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75691,Small subunit processome component 20 homolog OS=Homo sapiens OX=9606 GN=UTP20 PE=1 SV=3,6,14,22,14,318.2,UTP20,7.06E+05,8.23E+03,1.22E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61254,Large ribosomal subunit protein uL24 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1,39,7,22,7,17.2,RPL26,4.34E+06,2.12E+05,7.02E+06,1.29E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q06830,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,48,9,22,7,22.1,PRDX1,1.92E+06,2.08E+05,1.72E+06,2.29E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13330,Metastasis-associated protein MTA1 OS=Homo sapiens OX=9606 GN=MTA1 PE=1 SV=2,10,7,22,6,80.7,MTA1,8.33E+05,2.07E+05,1.11E+06,1.78E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14683,Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2,10,12,21,12,143.1,SMC1A,1.14E+06,,1.71E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NY93,Probable ATP-dependent RNA helicase DDX56 OS=Homo sapiens OX=9606 GN=DDX56 PE=1 SV=1,23,10,21,10,61.6,DDX56,8.65E+05,2.27E+04,1.20E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5TEC6,Histone H3-7 OS=Homo sapiens OX=9606 GN=H3-7 PE=1 SV=1,27,5,21,1,15.4,H3-7,2.19E+06,2.21E+04,4.42E+06,2.22E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P34897,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3",26,11,21,11,56,SHMT2,2.67E+06,7.50E+04,2.65E+06,1.06E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8WXF1,Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1,21,10,21,9,58.7,PSPC1,1.83E+06,1.26E+05,2.05E+06,1.42E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
