Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0; WT TAZ; Abundance 1226503,t=24; WT TAZ; Abundance 1226504,t=36; WT TAZ; Abundance 1226505,t=48; WT TAZ; Abundance 1226506,t=0; Y2 TAZ; Abundance 1226507,t=24; Y2 TAZ; Abundance 1226508,t=36; Y2 TAZ; Abundance 1226509,t=48; Y2 TAZ; Abundance 1226510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UHX1,Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,32,12,68,12,59.8,PUF60,3.25E+06,5.16E+06,8.87E+06,1.15E+07,5.43E+05,5.80E+05,1.53E+06,1.01E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00422,Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1,73,11,36,11,17.6,SAP18,2.75E+06,4.31E+06,1.13E+07,1.60E+07,2.37E+04,5.79E+05,2.61E+06,6.63E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99729,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2,31,12,64,11,36.2,HNRNPAB,6.64E+06,9.53E+06,2.08E+07,2.35E+07,1.20E+05,5.79E+05,2.95E+06,7.73E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96JM3,Chromosome alignment-maintaining phosphoprotein 1 OS=Homo sapiens OX=9606 GN=CHAMP1 PE=1 SV=2,29,18,56,18,89,CHAMP1,7.33E+06,9.27E+06,2.02E+07,3.18E+07,4.36E+04,5.70E+05,2.16E+06,4.67E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12874,Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1,44,16,50,16,58.8,SF3A3,6.64E+06,1.02E+07,2.54E+07,3.95E+07,2.50E+05,5.62E+05,2.13E+06,8.66E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H0S4,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1,45,15,81,15,50.6,DDX47,1.25E+07,1.32E+07,2.38E+07,3.36E+07,1.95E+04,5.59E+05,2.51E+06,7.30E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P20042,Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2,36,11,40,11,38.4,EIF2S2,4.12E+06,5.91E+06,1.24E+07,1.79E+07,,5.55E+05,1.21E+06,6.69E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O96019,Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,42,13,56,13,47.4,ACTL6A,4.40E+06,1.05E+07,1.92E+07,2.07E+07,8.19E+04,5.54E+05,3.16E+06,8.74E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62314,Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1,55,5,47,5,13.3,SNRPD1,4.83E+06,8.05E+06,1.88E+07,3.07E+07,1.18E+05,5.51E+05,2.35E+06,6.85E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,14,27,57,27,266.8,CNOT1,3.15E+06,5.16E+06,9.35E+06,1.03E+07,1.47E+04,5.51E+05,2.43E+06,7.09E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P10636,Microtubule-associated protein tau OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=5,5,3,12,3,78.9,MAPT,3.95E+05,3.11E+05,1.05E+06,2.04E+05,7.95E+05,5.49E+05,2.07E+05,4.21E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11137,Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4,3,4,10,4,199.4,MAP2,1.11E+05,8.14E+04,1.65E+05,3.93E+05,2.34E+05,5.47E+05,4.62E+05,4.51E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9ULW0,Targeting protein for Xklp2 OS=Homo sapiens OX=9606 GN=TPX2 PE=1 SV=2,25,17,52,17,85.6,TPX2,3.48E+06,8.32E+06,1.33E+07,1.50E+07,1.00E+04,5.46E+05,2.46E+06,2.84E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q29RF7,Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,19,20,84,17,150.7,PDS5A,3.67E+06,6.82E+06,1.37E+07,1.98E+07,4.00E+04,5.39E+05,2.33E+06,7.46E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q03701,CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3,38,38,162,38,120.9,CEBPZ,3.66E+07,2.41E+07,4.12E+07,4.55E+07,1.00E+05,5.38E+05,3.47E+06,9.94E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86TJ2,Transcriptional adapter 2-beta OS=Homo sapiens OX=9606 GN=TADA2B PE=1 SV=2,5,2,10,2,48.4,TADA2B,2.48E+05,2.80E+06,1.58E+06,1.10E+06,1.91E+06,5.38E+05,2.63E+06,6.09E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60885,Bromodomain-containing protein 4 OS=Homo sapiens OX=9606 GN=BRD4 PE=1 SV=2,19,22,72,17,152.1,BRD4,3.79E+06,1.16E+07,2.96E+07,3.02E+07,6.26E+04,5.38E+05,5.60E+06,3.10E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NVI7,ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2,32,16,48,8,71.3,ATAD3A,2.70E+06,2.56E+06,7.01E+06,1.59E+07,7.36E+04,5.34E+05,1.65E+06,7.88E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P42677,40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3,40,5,23,3,9.5,RPS27,7.80E+06,1.15E+07,1.73E+07,2.75E+07,3.58E+04,5.33E+05,2.21E+06,9.54E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P24928,DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens OX=9606 GN=POLR2A PE=1 SV=2,26,37,99,37,217,POLR2A,6.42E+06,8.47E+06,2.27E+07,2.93E+07,1.39E+05,5.33E+05,3.21E+06,6.61E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q9UNZ5,Leydig cell tumor 10 kDa protein homolog OS=Homo sapiens OX=9606 GN=C19orf53 PE=1 SV=1,7,1,8,1,10.6,C19orf53,1.70E+06,1.71E+06,1.91E+06,2.21E+06,2.98E+05,5.32E+05,2.49E+06,9.30E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P49916,DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2,24,20,68,20,112.8,LIG3,4.63E+06,6.59E+06,9.91E+06,1.40E+07,,5.32E+05,4.18E+06,6.22E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P36542,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1",23,6,17,6,33,ATP5F1C,6.84E+05,9.07E+05,3.23E+06,8.41E+06,4.78E+04,5.29E+05,1.56E+06,9.79E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62861,FAU ubiquitin-like and ribosomal protein S30 OS=Homo sapiens OX=9606 GN=FAU PE=1 SV=2,8,1,15,1,14.4,FAU,3.49E+06,1.79E+06,2.35E+06,5.90E+06,6.25E+05,5.29E+05,1.92E+06,6.71E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15269,Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=1 SV=2,20,14,54,14,102.4,PWP2,1.23E+07,7.31E+06,1.18E+07,1.15E+07,2.10E+05,5.22E+05,3.06E+06,8.70E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61513,60S ribosomal protein L37a OS=Homo sapiens OX=9606 GN=RPL37A PE=1 SV=2,51,4,33,4,10.3,RPL37A,4.65E+06,5.56E+06,8.34E+06,2.07E+07,9.68E+04,5.22E+05,1.10E+06,5.01E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H0R6,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial OS=Homo sapiens OX=9606 GN=QRSL1 PE=1 SV=2",15,6,23,6,57.4,QRSL1,3.94E+06,7.70E+05,1.73E+06,1.36E+06,4.11E+05,5.21E+05,1.31E+06,6.03E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55854,Small ubiquitin-related modifier 3 OS=Homo sapiens OX=9606 GN=SUMO3 PE=1 SV=2,12,1,3,1,11.6,SUMO3,,,,,4.02E+04,5.17E+05,2.17E+06,4.19E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14498,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,41,16,98,16,59.3,RBM39,5.89E+06,1.05E+07,2.67E+07,4.24E+07,2.74E+05,5.17E+05,2.49E+06,6.03E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14444,Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2,18,11,43,11,78.3,CAPRIN1,4.29E+06,8.24E+06,1.43E+07,1.66E+07,2.55E+04,5.17E+05,1.62E+06,5.17E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3,56,18,196,4,37.2,PPP1CB,3.78E+06,3.64E+06,8.44E+06,1.18E+07,5.29E+04,5.13E+05,1.64E+06,3.15E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BUQ8,Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens OX=9606 GN=DDX23 PE=1 SV=3,31,22,78,22,95.5,DDX23,6.87E+06,1.15E+07,2.05E+07,3.13E+07,6.55E+04,5.13E+05,2.62E+06,5.45E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62937,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,48,6,19,6,18,PPIA,1.63E+06,1.55E+06,2.58E+06,4.94E+06,8.22E+04,5.09E+05,2.50E+06,6.76E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07355,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,38,11,36,11,38.6,ANXA2,1.13E+06,1.21E+06,2.05E+06,2.33E+06,1.12E+06,5.07E+05,2.65E+06,7.06E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q8IV33,Uncharacterized protein KIAA0825 OS=Homo sapiens OX=9606 GN=KIAA0825 PE=1 SV=3,1,1,4,1,147.6,KIAA0825,6.84E+05,1.89E+06,1.30E+06,1.22E+06,1.52E+06,5.06E+05,1.78E+06,4.26E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium,Master Protein,Q6VVX0,Vitamin D 25-hydroxylase OS=Homo sapiens OX=9606 GN=CYP2R1 PE=1 SV=1,1,1,7,1,57.3,CYP2R1,5.91E+05,9.79E+05,1.43E+06,7.17E+05,7.22E+05,5.05E+05,6.24E+05,7.89E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P2K5,Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=3,27,15,42,15,64.1,MYEF2,2.98E+06,6.69E+06,1.48E+07,1.96E+07,2.13E+04,5.02E+05,1.13E+06,4.78E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07339,Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1,16,6,21,6,44.5,CTSD,3.55E+05,7.53E+05,1.78E+05,1.09E+06,5.48E+05,4.97E+05,1.03E+06,3.20E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35222,Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1,40,24,110,19,85.4,CTNNB1,7.33E+06,1.10E+07,2.60E+07,2.89E+07,,4.97E+05,2.97E+06,4.87E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86U86,Protein polybromo-1 OS=Homo sapiens OX=9606 GN=PBRM1 PE=1 SV=1,26,35,111,35,192.8,PBRM1,8.38E+06,1.55E+07,3.29E+07,3.96E+07,2.55E+04,4.96E+05,3.43E+06,6.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q99832,T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,42,17,43,17,59.3,CCT7,3.88E+06,2.57E+06,8.69E+06,7.82E+06,3.50E+04,4.90E+05,1.70E+06,1.04E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05198,Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3,57,16,89,16,36.1,EIF2S1,7.01E+06,1.08E+07,2.58E+07,2.81E+07,1.15E+04,4.90E+05,3.09E+06,6.73E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13242,Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1,46,9,51,9,25.5,SRSF9,3.68E+06,7.62E+06,1.98E+07,1.95E+07,4.61E+04,4.90E+05,3.45E+06,6.65E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O15042,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2,31,26,90,26,118.2,U2SURP,4.43E+06,1.06E+07,3.13E+07,5.13E+07,6.29E+04,4.89E+05,2.13E+06,7.72E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q96SB3,Neurabin-2 OS=Homo sapiens OX=9606 GN=PPP1R9B PE=1 SV=3,22,10,18,10,89.3,PPP1R9B,1.84E+06,1.36E+06,1.46E+06,2.46E+06,1.05E+04,4.88E+05,1.52E+06,5.37E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P40937,Replication factor C subunit 5 OS=Homo sapiens OX=9606 GN=RFC5 PE=1 SV=1,51,14,50,14,38.5,RFC5,5.18E+06,7.80E+06,1.05E+07,1.44E+07,1.44E+04,4.88E+05,2.46E+06,7.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O95470,Sphingosine-1-phosphate lyase 1 OS=Homo sapiens OX=9606 GN=SGPL1 PE=1 SV=3,26,9,32,9,63.5,SGPL1,1.93E+06,2.02E+06,5.01E+06,6.95E+06,3.00E+05,4.88E+05,1.03E+06,4.74E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35659,Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1,20,7,36,7,42.6,DEK,2.82E+06,3.68E+06,7.26E+06,1.13E+07,,4.84E+05,1.78E+06,3.95E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07305,Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3,21,4,12,4,20.9,H1-0,6.69E+05,1.06E+06,1.35E+06,1.95E+06,1.16E+04,4.82E+05,4.13E+06,2.49E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y3T9,Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4,24,18,85,18,84.9,NOC2L,2.12E+07,1.63E+07,3.25E+07,3.23E+07,,4.78E+05,3.02E+06,8.06E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08865,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,42,8,70,8,32.8,RPSA,1.05E+07,1.25E+07,2.15E+07,2.51E+07,1.04E+05,4.78E+05,2.82E+06,1.71E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P30876,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1,27,25,66,25,133.8,POLR2B,3.95E+06,5.64E+06,1.59E+07,1.84E+07,4.89E+04,4.74E+05,3.30E+06,6.50E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15397,Pumilio homolog 3 OS=Homo sapiens OX=9606 GN=PUM3 PE=1 SV=3,46,28,134,28,73.5,PUM3,1.22E+07,2.05E+07,3.91E+07,4.83E+07,8.06E+04,4.74E+05,2.20E+06,8.44E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P15311,Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,31,18,53,10,69.4,EZR,6.50E+06,5.61E+06,1.44E+07,1.26E+07,1.01E+05,4.74E+05,2.05E+06,6.31E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UEY8,Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,32,22,76,22,79.1,ADD3,1.67E+07,2.05E+07,3.42E+07,3.26E+07,5.52E+04,4.73E+05,4.67E+06,5.50E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IWX8,Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3,18,13,38,13,103.6,CHERP,3.45E+06,5.56E+06,1.44E+07,2.76E+07,6.88E+04,4.71E+05,1.13E+06,2.25E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31942,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,45,10,84,9,36.9,HNRNPH3,7.91E+06,1.16E+07,2.38E+07,3.74E+07,1.61E+05,4.68E+05,1.75E+06,9.06E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O00541,Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,38,19,82,19,68,PES1,1.52E+07,1.31E+07,1.92E+07,2.60E+07,3.41E+04,4.67E+05,2.55E+06,9.99E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UHD8,Septin-9 OS=Homo sapiens OX=9606 GN=SEPTIN9 PE=1 SV=2,17,9,29,9,65.4,SEPTIN9,2.75E+06,1.81E+06,7.10E+06,6.85E+06,2.60E+04,4.64E+05,2.01E+06,1.01E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2,29,18,69,18,95.9,ABCF1,8.00E+06,8.38E+06,1.54E+07,2.58E+07,4.72E+04,4.62E+05,1.91E+06,4.72E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BV38,WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2,36,13,82,13,47.4,WDR18,1.29E+07,2.23E+07,4.03E+07,4.67E+07,7.42E+04,4.61E+05,1.91E+06,7.58E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NXF1,Testis-expressed protein 10 OS=Homo sapiens OX=9606 GN=TEX10 PE=1 SV=2,44,33,157,33,105.6,TEX10,1.43E+07,2.63E+07,6.03E+07,7.33E+07,1.04E+05,4.60E+05,2.77E+06,7.99E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q12788,Transducin beta-like protein 3 OS=Homo sapiens OX=9606 GN=TBL3 PE=1 SV=2,44,23,88,23,89,TBL3,1.56E+07,1.04E+07,1.38E+07,1.75E+07,1.34E+05,4.59E+05,3.52E+06,7.27E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13185,Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4,56,8,61,6,20.8,CBX3,7.51E+06,1.02E+07,2.32E+07,2.97E+07,1.44E+05,4.57E+05,4.12E+06,4.64E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60832,H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3,28,12,51,12,57.6,DKC1,7.53E+06,8.35E+06,1.09E+07,1.17E+07,,4.55E+05,3.19E+06,8.37E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14625,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,13,11,32,9,92.4,HSP90B1,1.58E+06,9.93E+05,3.80E+06,5.36E+06,3.34E+05,4.53E+05,1.80E+06,1.79E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8IX12,Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2,12,11,26,11,132.7,CCAR1,1.08E+06,3.23E+06,9.36E+06,1.39E+07,5.76E+05,4.52E+05,6.75E+05,5.36E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8N1N4,"Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2",25,14,45,11,56.8,KRT78,4.21E+05,1.92E+06,5.45E+05,4.13E+05,2.20E+06,4.50E+05,2.80E+06,3.50E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9ULJ8,Neurabin-1 OS=Homo sapiens OX=9606 GN=PPP1R9A PE=1 SV=2,20,15,42,15,123.3,PPP1R9A,3.04E+06,2.13E+06,7.00E+06,9.27E+06,1.49E+04,4.49E+05,2.01E+06,1.76E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35221,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1,51,31,105,25,100,CTNNA1,1.02E+07,9.07E+06,2.09E+07,2.52E+07,3.41E+04,4.43E+05,1.99E+06,3.90E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61221,ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1,45,21,83,21,67.3,ABCE1,4.78E+06,1.19E+07,2.27E+07,2.87E+07,6.05E+03,4.43E+05,1.92E+06,1.09E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y4W2,Ribosomal biogenesis protein LAS1L OS=Homo sapiens OX=9606 GN=LAS1L PE=1 SV=2,48,24,109,24,83,LAS1L,1.24E+07,1.90E+07,3.60E+07,5.31E+07,7.32E+04,4.42E+05,2.35E+06,9.32E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P29508,Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2,8,4,10,4,44.5,SERPINB3,1.07E+05,4.65E+05,5.72E+05,,5.38E+05,4.40E+05,5.26E+05,2.36E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9Y2A7,Nck-associated protein 1 OS=Homo sapiens OX=9606 GN=NCKAP1 PE=1 SV=1,24,19,55,19,128.7,NCKAP1,4.68E+06,5.11E+06,1.13E+07,1.40E+07,2.52E+04,4.38E+05,1.85E+06,4.79E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13557,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens OX=9606 GN=CAMK2D PE=1 SV=3,27,11,26,7,56.3,CAMK2D,1.52E+06,3.28E+06,6.93E+06,1.01E+07,2.39E+04,4.37E+05,1.77E+06,1.02E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14979,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,29,12,72,10,46.4,HNRNPDL,3.79E+06,6.14E+06,1.30E+07,1.59E+07,1.45E+05,4.31E+05,2.11E+06,5.30E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8NF91,Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=4,0,2,5,2,1010.5,SYNE1,6.58E+06,5.72E+06,1.05E+07,1.53E+07,7.29E+04,4.28E+05,1.31E+06,5.30E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13148,TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1,27,7,45,7,44.7,TARDBP,2.30E+06,3.65E+06,1.00E+07,8.88E+06,6.38E+03,4.28E+05,1.12E+06,1.18E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UJS0,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A13 PE=1 SV=2",37,18,42,18,74.1,SLC25A13,1.35E+06,2.14E+06,7.62E+06,1.75E+07,3.54E+04,4.27E+05,2.21E+06,9.49E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P63010,AP-2 complex subunit beta OS=Homo sapiens OX=9606 GN=AP2B1 PE=1 SV=1,44,37,215,21,104.5,AP2B1,3.47E+07,5.40E+07,9.00E+07,7.78E+07,5.66E+04,4.26E+05,1.98E+06,6.37E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78332,RNA-binding protein 6 OS=Homo sapiens OX=9606 GN=RBM6 PE=1 SV=5,7,7,16,7,128.6,RBM6,5.96E+05,1.50E+06,2.59E+06,3.34E+06,4.28E+05,4.24E+05,2.97E+05,1.24E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
